Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,,,,,,,,,,,
2/18/2021 14:30:31,1-1-a,69.93,11,18.7,10.3,9.64,57.87,2.06,0.110160427807487,6.37498395721925,5.26090909090909,6.23333333333333,9.07766990291262,11.0160427807487,,6.09,,,,,,,,,,,,
2/18/2021 14:32:40,1-1-b,83.36,10,21.18,10.1,11.39,71.92,2.39,0.112842304060434,8.11561850802644,7.192,7.06,8.86192468619247,11.2842304060434,,,,,,,,,,,,,,
2/18/2021 14:55:16,1-2-a,45.33,6,15.44,11.1,10.19,35.22,2.09,0.135362694300518,4.76747409326425,5.87,5.14666666666667,7.38755980861244,13.5362694300518,,,2/18/2021 14:50:51,1-10-a,44.46,7,14.19,10,9.97,34.74,7.72,,,
2/18/2021 14:58:52,1-2-b,31.62,3,21.96,,9.72,21.96,2.22,0.101092896174863,2.22,7.32,7.32,9.89189189189189,10.1092896174863,1 green fruit,,2/18/2021 15:11:39,1-10-b,43.81,7,12.97,10.8,12.08,31.72,7.47,1 green fruit,,
2/18/2021 14:34:17,1-3-a,44.88,3,35.17,,9.81,35.17,4.06,0.115439294853568,4.06,11.7233333333333,11.7233333333333,8.66256157635468,11.5439294853568,,,2/18/2021 14:42:41,1-11-a,108.95,10,27.31,10.8,13.6,95.54,8.75,,,
2/18/2021 15:07:33,1-3-b,63.67,7,20.9,12.3,15.59,48.05,2.75,0.131578947368421,6.32236842105263,6.86428571428571,6.96666666666667,7.6,13.1578947368421,,,2/18/2021 15:09:22,1-11-b,47.06,8,13.96,11.2,11.41,35.61,7.95,,,
2/18/2021 14:38:43,1-4-a,106.49,9,35.18,9.9,12.28,94.29,3.62,0.102899374644685,9.7023820352473,10.4766666666667,11.7266666666667,9.71823204419889,10.2899374644685,,,2/18/2021 14:44:27,1-12-a,85.67,10,22.67,10.9,11.98,73.81,8.7,,,
2/18/2021 14:57:00,1-4-b,67.56,7,24.34,9.7,12.91,54.76,2.51,0.103122432210353,5.64698438783895,7.82285714285714,8.11333333333333,9.69721115537849,10.3122432210353,2,,2/18/2021 15:05:29,1-12-b,50.05,7,17.26,10.1,12.65,37.39,8.09,2,,
2/18/2021 14:35:56,1-5-a,57.45,8,15.28,10.9,12.68,44.94,1.92,0.12565445026178,5.6469109947644,5.6175,5.09333333333333,7.95833333333333,12.565445026178,,,2/18/2021 15:03:51,1-12-b-1,47.8,6,14.75,10.7,13.69,33.87,7.67,,,
2/18/2021 15:01:12,1-5-b,105.48,11,26.54,10.1,15.87,89.67,2.89,0.108892238131123,9.76436699321779,8.15181818181818,8.84666666666667,9.18339100346021,10.8892238131123,,,,,,,,,,,,,,
