Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,,,,,,,,,,
3/11/2021 11:14:04,1-1-A,42.11,10,11.63,11,4.82,34.4,1.15,0.098882201203783,3.40154772141015,3.44,3.87666666666667,10.1130434782609,9.88822012037833,,,,,,,,,,,,,
,1-1-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,,6.09,,,,,,,,,,,
3/11/2021 11:10:30,1-2-A,52.59,8,16.64,11.2,6.69,45.85,1.86,0.111778846153846,5.12506009615385,5.73125,5.54666666666667,8.94623655913978,11.1778846153846,,12.18,,3/11/2021 11:37:07,1-10-A,46.15,11,12.14,10.4,5.04,40.91,7.34,
3/11/2021 10:27:38,1-2-B,55.27,8,16.95,10.5,8.59,46.74,1.59,0.093805309734513,4.38446017699115,5.8425,5.65,10.6603773584906,9.38053097345133,,,,3/11/2021 11:17:33,1-10-A-1,45.97,9,14.33,11.5,5.37,40.59,7.6,
3/11/2021 11:15:39,1-3-A,50.64,11,11.05,11.7,7.85,42.75,1.09,0.098642533936652,4.21696832579185,3.88636363636364,3.68333333333333,10.1376146788991,9.86425339366516,,,,3/11/2021 10:38:45,1-10-B,33.37,9,9.83,12.2,4.82,28.56,7,
3/11/2021 10:31:47,1-3-B,57.8,10,17.09,10.5,6.66,51.14,1.8,0.105324751316559,5.38630778232885,5.114,5.69666666666667,9.49444444444445,10.5324751316559,,,,3/11/2021 11:00:52,1-11-A,55.52,8,19.78,11.5,5.69,49.83,8.24,
3/11/2021 11:12:18,1-4-A,66.13,10,18.57,12.1,8.72,57.47,2.07,0.111470113085622,6.4061873990307,5.747,6.19,8.97101449275362,11.1470113085622,,,,3/11/2021 10:56:18,1-11-B,39.14,8,11.56,12.2,6.36,32.79,7.44,
3/11/2021 10:29:54,1-4-B,35.97,7,12.87,11.3,7.18,28.75,1.58,0.122766122766123,3.52952602952603,4.10714285714286,4.29,8.14556962025316,12.2766122766123,,,,3/11/2021 10:40:24,1-12-B,26.78,5,10.79,,8.69,18.03,7.8,wrinkled fruits for brix
3/11/2021 11:08:48,1-5-A,51.37,11,15.25,11.6,6.21,45.14,1.69,0.110819672131148,5.0024,4.10363636363636,5.08333333333333,9.02366863905325,11.0819672131148,,,,,,,,,,,,,
3/11/2021 10:33:34,1-5-B,50.61,11,12.77,9.7,7.87,42.75,1.09,0.085356303837118,3.6489819890368,3.88636363636364,4.25666666666667,11.7155963302752,8.53563038371182,,,,,,,,,,,,,
3/11/2021 11:04:37,1-6-A,34.9,6,11.92,10.8,6.76,28.1,1.19,0.099832214765101,2.80528523489933,4.68333333333333,3.97333333333333,10.0168067226891,9.98322147651007,,,,,,,,,,,,,
3/11/2021 10:37:09,1-6-B,36.58,7,13.21,9.6,6.14,30.44,1.22,0.092354277062831,2.81126419379258,4.34857142857143,4.40333333333333,10.827868852459,9.23542770628312,,,,,,,,,,,,,
3/11/2021 11:06:03,1-7-A,38.36,8,12.65,10.3,5.71,32.64,1.21,0.095652173913044,3.12208695652174,4.08,4.21666666666667,10.4545454545455,9.56521739130435,,,,,,,,,,,,,
3/11/2021 10:44:54,1-7-B,64.84,11,20.22,12.8,8.21,56.58,2.61,0.129080118694362,7.303353115727,5.14363636363636,6.74,7.74712643678161,12.9080118694362,,,,,,,,,,,,,
3/11/2021 10:54:36,1-8-A,33.7,9,9.58,11.7,6.08,27.09,1.1,0.11482254697286,3.11054279749478,3.01,3.19333333333333,8.70909090909091,11.482254697286,,,,,,,,,,,,,
3/11/2021 10:48:49,1-8-B,45.2,6,19.69,10.4,7.18,37.99,1.92,0.097511427120366,3.70445911630269,6.33166666666667,6.56333333333333,10.2552083333333,9.75114271203657,,,,,,,,,,,,,
3/11/2021 10:53:28,1-9-A,19.3,5,6.48,13.6,7.94,11.38,0.82,0.126543209876543,1.44006172839506,2.276,2.16,7.90243902439024,12.6543209876543,2 small fruit for brix,,,,,,,,,,,,
3/11/2021 10:51:15,1-9-B,22.29,8,6.46,12.9,5.91,16.26,0.71,0.109907120743034,1.78708978328173,2.0325,2.15333333333333,9.09859154929578,10.9907120743034,,,,,,,,,,,,,
,1-10-A,92.12,20,26.47,10.95,10.41,81.5,2.76,0.104268983755195,8.49792217604836,4.075,8.82333333333333,9.59057971014493,10.4268983755195,2,,,,1-10-A,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,
3/11/2021 10:38:45,1-10-B,33.37,9,9.83,12.2,4.82,28.56,0.91,0.092573753814853,2.64390640895219,3.17333333333333,3.27666666666667,10.8021978021978,9.25737538148525,,,,,,,,,,,,,
3/11/2021 11:00:52,1-11-A,55.52,8,19.78,11.5,5.69,49.83,2.15,0.108695652173913,5.41630434782609,6.22875,6.59333333333333,9.2,10.8695652173913,,,,,,,,,,,,,
3/11/2021 10:56:18,1-11-B,39.14,8,11.56,12.2,6.36,32.79,1.35,0.116782006920415,3.82928200692042,4.09875,3.85333333333333,8.56296296296296,11.6782006920415,,,,,,,,,,,,,
,1-12-A,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,
3/11/2021 10:40:24,1-12-B,26.78,5,10.79,,8.69,18.03,1.71,0.158480074142725,2.85739573679333,3.606,3.59666666666667,6.30994152046784,15.8480074142725,wrinkled fruits for brix,,,,,,,,,,,,
3/11/2021 11:54:33,2-1-A,54.4,10,14.35,11.9,8.48,47.85,1.69,0.117770034843206,5.63529616724739,4.785,4.78333333333333,8.49112426035503,11.7770034843206,,,,,,,,,,,,,
3/11/2021 12:11:05,2-1-B,52.58,9,15.98,10,5.19,47.41,1.67,0.10450563204005,4.95461201501877,5.26777777777778,5.32666666666667,9.5688622754491,10.450563204005,,,,,,,,,,,,,
3/11/2021 13:13:30,2-2-A,48.84,6,19.06,10.3,5.26,43.58,2.21,0.11594963273872,5.05308499475341,7.26333333333333,6.35333333333333,8.62443438914027,11.594963273872,,,,3/11/2021 12:12:34,2-10-A,37.96,9,12.19,12.3,5.5,32.44,7.69,
3/11/2021 11:45:01,2-2-B,50.6,9,16.04,10.2,5.43,45.22,1.73,0.10785536159601,4.87721945137157,5.02444444444445,5.34666666666667,9.27167630057803,10.785536159601,,,,3/11/2021 13:30:51,2-10-B,37.36,7,14.11,10.2,5.18,32.18,7.56,
3/11/2021 13:02:53,2-3-A,55.2,9,19.1,10.6,5.87,49.31,2,0.104712041884817,5.16335078534031,5.47888888888889,6.36666666666667,9.55,10.4712041884817,,,,3/11/2021 13:08:35,2-11-A,53.57,12,10.9,11.6,5.84,47.71,7.38,
3/11/2021 13:21:57,2-3-B,52.41,9,14.37,12.3,5.47,46.95,1.67,0.116214335421016,5.4562630480167,5.21666666666667,4.79,8.60479041916168,11.6214335421016,,,,3/11/2021 13:04:41,2-11-B,63.75,7,23.53,10.6,5.77,57.93,8.47,
3/11/2021 13:23:20,2-4-A,61.57,12,14.9,12.4,9.25,52.33,1.92,0.128859060402685,6.74319463087248,4.36083333333333,4.96666666666667,7.76041666666667,12.8859060402685,,,,3/11/2021 13:33:05,2-12-A,32.13,8,10.77,11.9,5.54,26.56,7.32,
3/11/2021 13:27:59,2-4-B,57.58,10,15.8,10.3,7.41,50.16,1.6,0.10126582278481,5.07949367088608,5.016,5.26666666666667,9.875,10.126582278481,,,,3/11/2021 13:12:05,2-12-B,51.81,11,16.76,12.5,6.58,45.2,7.99,
3/11/2021 13:29:34,2-5-A,46.29,10,11.49,10,7.84,38.47,1.14,0.099216710182768,3.81686684073107,3.847,3.83,10.078947368421,9.92167101827677,,,,,,,,,,,,,
,2-5-B,,,,,,,,#DIV/0!,0,#DIV/0!,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,
3/11/2021 13:17:57,2-6-A,47.27,8,20.24,9.7,7.47,39.78,2.54,0.125494071146245,4.99215415019763,4.9725,6.74666666666667,7.96850393700787,12.5494071146245,,,,,,,,,,,,,
3/11/2021 13:24:21,2-6-B,52.08,5,22.29,11.4,6.42,45.63,2.33,0.104531179901301,4.76975773889637,9.126,7.43,9.56652360515021,10.4531179901301,,,,,,,,,,,,,
3/11/2021 13:34:43,2-7-A,50.85,10,16.67,13.7,8.14,42.68,2.22,0.133173365326935,5.68383923215357,4.268,5.55666666666667,7.50900900900901,13.3173365326935,,,,,,,,,,,,,
3/11/2021 13:16:30,2-7-B,39.61,7,15.45,10.3,5.5,34.11,1.67,0.108090614886731,3.68697087378641,4.87285714285714,5.15,9.25149700598802,10.8090614886731,,,,,,,,,,,,,
3/11/2021 12:20:37,2-8-A,82.9,11,24.15,11,7.9,74.9,2.69,0.111387163561077,8.34289855072464,6.80909090909091,8.05,8.97769516728625,11.1387163561077,,,,,,,,,,,,,
3/11/2021 11:41:25,2-8-B,44.69,8,12.95,11.3,6.43,38.22,1.29,0.0996138996139,3.80724324324324,4.7775,4.31666666666667,10.0387596899225,9.96138996138996,,,,,,,,,,,,,
3/11/2021 11:43:39,2-9-A,63.91,9,21.73,11.7,8.38,55.53,2.57,0.11826967326277,6.56751495628164,6.17,7.24333333333333,8.45525291828794,11.826967326277,,,,,,,,,,,,,
3/11/2021 12:15:12,2-9-B,51.75,9,16.78,10.9,6.82,44.9,1.65,0.098331346841478,4.41507747318236,4.98888888888889,5.59333333333333,10.169696969697,9.8331346841478,,,,,,,,,,,,,
3/11/2021 12:12:34,2-10-A,37.96,9,12.19,12.3,5.5,32.44,1.6,0.131255127153404,4.25791632485644,3.60444444444444,4.06333333333333,7.61875,13.1255127153404,,,,,,,,,,,,,
3/11/2021 13:30:51,2-10-B,37.36,7,14.11,10.2,5.18,32.18,1.47,0.104181431608788,3.3525584691708,4.59714285714286,4.70333333333333,9.59863945578231,10.4181431608788,,,,,,,,,,,,,
3/11/2021 13:08:35,2-11-A,53.57,12,10.9,11.6,5.84,47.71,1.29,0.118348623853211,5.6464128440367,3.97583333333333,3.63333333333333,8.44961240310078,11.8348623853211,,,,,,,,,,,,,
3/11/2021 13:04:41,2-11-B,63.75,7,23.53,10.6,5.77,57.93,2.38,0.101147471313217,5.85947301317467,8.27571428571429,7.84333333333333,9.88655462184874,10.1147471313217,,,,,,,,,,,,,
3/11/2021 13:33:05,2-12-A,32.13,8,10.77,11.9,5.54,26.56,1.23,0.114206128133705,3.0333147632312,3.32,3.59,8.75609756097561,11.4206128133705,,,,,,,,,,,,,
3/11/2021 13:12:05,2-12-B,51.81,11,16.76,12.5,6.58,45.2,1.9,0.113365155131265,5.12410501193317,4.10909090909091,5.58666666666667,8.82105263157895,11.3365155131265,,,,,,,,,,,,,
