Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes
1/11/2021 14:08:32,1-1-A,39.39,5,20.33,9.9,5.57,33.61,2,0.098376783079193,3.30644367929169,6.722,6.77666666666667,10.165,9.83767830791933,6.09
1/11/2021 13:19:22,1-1-B,89.16,10,28.57,9.8,8.48,80.79,2.71,0.094854742737137,7.66331466573329,8.079,9.52333333333333,10.5424354243542,9.48547427371369,
1/11/2021 14:14:28,1-2-A,11.71,1,8.04,,3.74,8.04,0.73,0.090796019900498,0.73,8.04,2.68,11.013698630137,9.07960199004976,One 1 fruit, no brix
1/11/2021 13:48:46,1-2-B,25.9,3,20.82,,5.03,20.82,1.77,0.085014409221902,1.77,6.94,6.94,11.7627118644068,8.5014409221902,No Brix
1/11/2021 14:12:27,1-3-A,103.14,11,24.25,8.5,9.03,93.72,2.19,0.090309278350516,8.46378556701031,8.52,8.08333333333333,11.0730593607306,9.03092783505154,
1/11/2021 13:20:28,1-3-B,13.98,2,9.92,,4.12,9.96,1.11,0.111895161290323,1.11447580645161,4.98,3.30666666666667,8.93693693693693,11.1895161290323,No Brix, only 2 fruit
1/11/2021 14:05:16,1-4-A,65.14,8,23.03,10.1,6.99,57.63,1.93,0.083803734259661,4.82960920538428,7.20375,7.67666666666667,11.9326424870466,8.38037342596613,
1/11/2021 13:26:50,1-4-B,75.91,9,18.61,8.9,7.54,68.41,1.9,0.102095647501343,6.9843632455669,7.60111111111111,6.20333333333333,9.79473684210526,10.2095647501343,
1/11/2021 14:10:16,1-5-A,87.38,10,25.44,8.8,6.81,80.31,2.75,0.10809748427673,8.68130896226415,8.031,8.48,9.25090909090909,10.809748427673,
1/11/2021 13:41:24,1-5-B,93.06,10,34.83,8.7,7.92,85.09,3.27,0.093884582256675,7.9886391042205,8.509,11.61,10.651376146789,9.38845822566753,
1/11/2021 14:13:26,1-6-A,73.09,6,36.78,8.2,7.38,65.61,3.43,0.093257205002719,6.11860522022838,10.935,12.26,10.7230320699708,9.32572050027189,
1/11/2021 13:39:00,1-6-B,61.33,8,19.43,10.5,7.62,53.73,2.12,0.109109624292331,5.86246011322697,6.71625,6.47666666666667,9.16509433962264,10.9109624292331,
1/11/2021 14:06:57,1-7-A,85.82,10,26.42,8.5,9.72,76.12,2.44,0.092354277062831,7.03000757002271,7.612,8.80666666666667,10.827868852459,9.23542770628312,
1/11/2021 13:24:53,1-7-B,77.93,9,25.74,10.5,8.58,69.19,2.81,0.109168609168609,7.55337606837607,7.68777777777778,8.58,9.16014234875445,10.9168609168609,
1/11/2021 14:02:29,1-8-A,51.49,7,18.02,10.7,6.29,45.22,1.93,0.107103218645949,4.84320754716981,6.46,6.00666666666667,9.33678756476684,10.7103218645949,
1/11/2021 13:31:22,1-8-B,56.3,8,21.95,11.1,7.08,49.28,1.93,0.087927107061503,4.33304783599089,6.16,7.31666666666667,11.3730569948187,8.79271070615034,
1/11/2021 13:50:07,1-9-A,46.31,7,14.4,10.2,6.95,39.22,1.86,0.129166666666667,5.06591666666667,5.60285714285714,4.8,7.74193548387097,12.9166666666667,
1/11/2021 13:28:32,1-9-B,61.82,10,12.79,10.6,7.97,53.82,2.13,0.166536356528538,8.96298670836591,5.382,4.26333333333333,6.00469483568075,16.6536356528538,
1/11/2021 14:01:00,1-10-A,69.03,8,21.83,10.4,8.01,60.95,2.03,0.092991296381127,5.66781951442968,7.61875,7.27666666666667,10.7536945812808,9.29912963811269,
1/11/2021 13:57:28,1-10-B,73.57,8,27.05,9.6,7.22,65.64,2.73,0.100924214417745,6.62466543438078,8.205,9.01666666666667,9.90842490842491,10.0924214417745,
1/11/2021 13:58:58,1-11-A,66.19,7,23.88,9.9,5.82,59.89,2.62,0.109715242881072,6.57084589614741,8.55571428571429,7.96,9.11450381679389,10.9715242881072,
1/11/2021 13:55:04,1-11-B,74.41,9,23.61,11.6,8.16,66.23,2.26,0.095722151630665,6.33967810249894,7.35888888888889,7.87,10.4469026548673,9.5722151630665,
1/11/2021 13:34:48,1-12-A,55.42,6,23.7,11,10.66,44.72,2.79,0.117721518987342,5.26450632911393,7.45333333333333,7.9,8.49462365591397,11.7721518987342,
1/11/2021 13:43:01,1-12-B,66.84,9,17.89,11.8,8.7,57.69,2.55,0.142537730575741,8.22300167691448,6.41,5.96333333333333,7.0156862745098,14.2537730575741,
