Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,
2/25/2021 15:13:15,1-1-a,35.05,6,11.46,11.5,9.29,25.86,1.01,0.088132635253054,2.27910994764398,4.31,3.82,11.3465346534654,8.81326352530541,,,
,1-1-b,95.65,15,30.1,12.9,18.99,76.82,3.39,0.112624584717608,8.65182059800664,5.12133333333333,10.0333333333333,8.87905604719764,11.2624584717608,,2,
2/25/2021 15:17:15,1-2-a,27.73,3,21.66,,6.16,21.66,2.39,0.110341643582641,2.39,7.22,7.22,9.06276150627615,11.0341643582641,,,
,1-2-b,56.83,9,28.79,11.2,13.82,43.22,2.51,0.087183049670024,3.76805140673845,4.80222222222222,9.59666666666667,11.4701195219124,8.71830496700243,,2,
2/25/2021 15:10:16,1-3-a,30.57,6,9.93,11.4,8.28,22.36,0.98,0.098690835850957,2.20672708962739,3.72666666666667,3.31,10.1326530612245,9.86908358509568,,,
2/25/2021 14:45:53,1-3-b,21.86,3,12.98,,9.09,12.98,1.1,0.084745762711865,1.1,4.32666666666667,4.32666666666667,11.8,8.47457627118645,,,
2/25/2021 15:02:22,1-4-a,62.34,9,19.08,10.4,8.1,54.25,1.81,0.094863731656185,5.14635744234801,6.02777777777778,6.36,10.5414364640884,9.48637316561845,,,
2/25/2021 14:55:05,1-4-b,51.81,8,14.06,10,9.3,42.75,1.43,0.101706970128023,4.34797297297297,5.34375,4.68666666666667,9.83216783216784,10.1706970128023,,,
2/25/2021 14:35:25,1-5-a,62.39,7,22.93,12.5,10.34,52.27,3.01,0.131269079808112,6.86143480157,7.46714285714286,7.64333333333333,7.61794019933555,13.1269079808112,,,
,1-5-b,41.64,6,20.99,11.3,16.53,25.49,1.86,0.08861362553597,2.25876131491186,4.24833333333333,6.99666666666667,11.2849462365591,8.86136255359695,,2,
,1-6-a,54.76,8,23.23,11.45,16.17,38.47,2.54,0.109341368919501,4.20636246233319,4.80875,7.74333333333333,9.14566929133858,10.9341368919501,,2,
,1-6-b,63.96,9,32.49,10.8,18.63,45.4,3.6,0.110803324099723,5.03047091412742,5.04444444444444,10.83,9.025,11.0803324099723,,2,
2/25/2021 14:59:10,1-7-a,31.09,4,16.66,10.5,6.6,24.57,2.18,0.130852340936375,3.21504201680672,6.1425,5.55333333333333,7.64220183486239,13.0852340936375,,,
,1-7-b,79.94,14,23.06,11.6,22.72,57.81,2.44,0.105810928013877,6.11692974848222,4.12928571428571,7.68666666666667,9.45081967213114,10.5810928013877,,2,
2/25/2021 15:08:55,1-8-a,23.11,4,11.22,10.2,8.63,14.43,1.17,0.10427807486631,1.50473262032086,3.6075,3.74,9.58974358974359,10.427807486631,,,
2/25/2021 14:53:32,1-8-b,26.01,4,12.28,10.8,9.83,16.34,1.3,0.10586319218241,1.72980456026059,4.085,4.09333333333333,9.44615384615385,10.586319218241,,,
2/25/2021 15:03:51,1-9-a,25.21,5,7.97,13.1,11.92,13.4,1,0.125470514429109,1.68130489335006,2.68,2.65666666666667,7.97,12.5470514429109,,,
,1-9-b,53.22,14,14.66,12.55,23.11,31,1.71,0.116643929058663,3.61596180081856,2.21428571428571,4.88666666666667,8.57309941520468,11.6643929058663,,2,
2/25/2021 15:11:49,1-10-a,41.36,10,10.72,10.8,9.06,32.3,1.19,0.111007462686567,3.58554104477612,3.23,3.57333333333333,9.00840336134453,11.1007462686567,,,
2/25/2021 14:30:12,1-10-b,35.98,7,10.36,12.2,9.46,26.54,1.12,0.108108108108108,2.86918918918919,3.79142857142857,3.45333333333333,9.25,10.8108108108108,,,
2/25/2021 15:00:46,1-11-a,75.26,11,16.66,13.1,13.43,61.96,2.03,0.121848739495798,7.54974789915966,5.63272727272727,5.55333333333333,8.20689655172414,12.1848739495798,,,
2/25/2021 14:57:56,1-11-b,20.68,3,12.81,,7.99,12.81,1.43,0.111631537861046,1.43,4.27,4.27,8.95804195804196,11.1631537861046,,,
,1-12-a,79.58,12,29.73,12.05,18.11,61.41,3.87,0.130171543895056,7.99383451059536,5.1175,9.91,7.68217054263566,13.0171543895056,,2,
2/25/2021 14:56:44,1-12-b,20.34,3,11.82,,8.62,11.82,1.41,0.119289340101523,1.41,3.94,3.94,8.38297872340426,11.9289340101523,,,
2/25/2021 16:24:16,2-1-a,77.99,11,18.41,13.6,8.39,69.63,2.51,0.136338946224878,9.49328082563824,6.33,6.13666666666667,7.33466135458167,13.6338946224878,,,
2/25/2021 15:38:22,2-1-b,79.89,11,18.88,11.6,8.52,71.31,2.07,0.109639830508475,7.81841631355932,6.48272727272727,6.29333333333333,9.1207729468599,10.9639830508475,,,
2/25/2021 16:21:19,2-2-a,20.18,4,11.6,9,5.76,14.46,1.4,0.120689655172414,1.7451724137931,3.615,3.86666666666667,8.28571428571429,12.0689655172414,,,
,2-2-b,78.8,12,30.42,10.05,11.72,63.11,2.98,0.097961867192637,6.18237343852729,5.25916666666667,10.14,10.2080536912752,9.79618671926364,,2,
2/25/2021 16:22:33,2-3-a,33.23,6,11.06,12.2,6.11,27.01,1.42,0.128390596745027,3.46783001808318,4.50166666666667,3.68666666666667,7.7887323943662,12.8390596745027,,,
,2-3-b,123.48,18,38.28,10.4,13.14,110.34,3.91,0.1021421107628,11.2703605015674,6.13,12.76,9.79028132992328,10.21421107628,,2,
