Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,,
1/20/2021 12:48:38,1-1-A,104.33,9,29.74,9.2,12.77,91.52,2.57,0.086415601882986,7.90875588433087,10.1688888888889,9.91333333333333,11.5719844357977,8.64156018829859,,,,,
1/20/2021 12:37:22,1-1-B,73.08,7,26.32,10.1,10.72,62.36,2.66,0.101063829787234,6.30234042553192,8.90857142857143,8.77333333333333,9.89473684210526,10.1063829787234,,,,0,0
1/20/2021 12:50:09,1-2-A,23.81,2,18.32,,5.48,18.32,1.65,0.090065502183406,1.65,9.16,6.10666666666667,11.1030303030303,9.00655021834061,only two fruit for dry weight,,,,
1/20/2021 12:31:34,1-2-B,64.84,5,31.49,10.3,9.04,55.55,3.05,0.096856144807876,5.38035884407749,11.11,10.4966666666667,10.3245901639344,9.68561448078756,,,,,
1/20/2021 12:46:36,1-3-A,19.89,2,13.18,,6.64,13.18,1.2,0.091047040971169,1.2,6.59,4.39333333333333,10.9833333333333,9.10470409711684,only two fruit for dry weight,,,,
1/20/2021 12:27:52,1-3-B,13.64,1,7.55,,6.04,7.55,0.75,0.099337748344371,0.75,7.55,2.51666666666667,10.0666666666667,9.93377483443709,only one tomato for fresh weight,,,,
1/20/2021 12:45:15,1-4-A,65.61,6,25.93,9.2,10.08,55.51,2.33,0.089857308137293,4.98797917470112,9.25166666666667,8.64333333333333,11.1287553648069,8.98573081372927,,,,,
1/20/2021 12:22:35,1-4-B,67.76,7,27.99,11.3,9.68,58.02,2.82,0.10075026795284,5.8455305466238,8.28857142857143,9.33,9.92553191489362,10.075026795284,,,,,
1/20/2021 12:35:25,1-5-A,66.49,6,25.1,9.7,10.67,55.83,2.53,0.100796812749004,5.62748605577689,9.305,8.36666666666667,9.92094861660079,10.0796812749004,,,,,
1/20/2021 12:26:13,1-5-B,64.98,7,22.87,10,8.89,56.09,2.25,0.09838216003498,5.51825535636205,8.01285714285714,7.62333333333333,10.1644444444444,9.83821600349803,,,,,
1/20/2021 12:34:08,1-6-A,63.65,7,23.83,11.3,8.46,55.15,2.35,0.098615190935795,5.43862778010911,7.87857142857143,7.94333333333333,10.1404255319149,9.86151909357952,,,,,
1/20/2021 12:39:02,1-6-B,56.77,7,20.32,14.3,10.48,46.26,2.04,0.100393700787402,4.6442125984252,6.60857142857143,6.77333333333333,9.96078431372549,10.0393700787402,,,,,
1/20/2021 12:29:33,1-7-A,64.45,6,25.91,8.8,9.55,54.87,2.62,0.101119258973369,5.54841373986878,9.145,8.63666666666667,9.88931297709923,10.1119258973369,,,,,
1/20/2021 12:40:42,1-7-B,77.99,7,23.89,10.5,13.07,64.92,2.57,0.10757639179573,6.98385935537882,9.27428571428571,7.96333333333333,9.29571984435798,10.757639179573,,,,,
