Timestamp,Barcode,Total Weight,Fruit Number,Fruit Fresh Weight (3),Brix,Truss Weight,Total Fruit Weight,Fruit Dry Weight (3),D/F,Total DW,Individual Fruit Weight,Red fruit weight,FW:DW,Drymatter%,Notes,,,,,,,,,,,
2/4/2021 14:10:39,1-1-A,100.49,11,21.42,9.5,18.88,82.03,2.03,0.094771241830065,7.77408496732026,7.45727272727273,7.14,10.551724137931,9.47712418300653,,,,,,,,,,,,
2/4/2021 13:13:16,1-1-B,73.75,8,26.85,11.4,15.44,58.6,2.34,0.087150837988827,5.10703910614525,7.325,8.95,11.474358974359,8.71508379888268,,,,,,,,,,,,
2/4/2021 14:08:42,1-2-A,98.27,9,31.98,8.8,13.23,85.62,2.74,0.085678549093183,7.33579737335835,9.51333333333333,10.66,11.6715328467153,8.56785490931832,,,2/4/2021 13:47:27,1-10-A,96.71,11,24.78,10.9,12.66,84.46,8.56,
2/4/2021 13:15:30,1-2-B,44.09,6,18.41,9.2,8.28,35.58,1.47,0.079847908745247,2.84098859315589,5.93,6.13666666666667,12.5238095238095,7.98479087452471,,6.09,2/4/2021 13:44:14,1-10-B,59.29,6,22.8,10.8,12.2,47.37,8.23,
2/4/2021 14:07:02,1-3-A,60.28,4,31.99,9.8,12.98,47.72,2.72,0.085026570803376,4.05746795873711,11.93,10.6633333333333,11.7610294117647,8.50265708033761,,,2/4/2021 13:34:51,1-11-A,98.28,11,22.62,11.2,13.03,85.35,8.47,
2/4/2021 13:17:18,1-3-B,90.13,8,29.59,9.9,12.46,77.55,2.57,0.086853666779317,6.73550185873606,9.69375,9.86333333333333,11.5136186770428,8.68536667793173,,,2/4/2021 13:31:52,1-11-B,83.96,10,19.65,11.2,12.32,71.65,7.86,
2/4/2021 14:04:39,1-4-A,87.52,8,29.75,9.2,12.42,75.5,2.7,0.090756302521009,6.85210084033614,9.4375,9.91666666666667,11.0185185185185,9.07563025210084,,,2/4/2021 13:19:16,1-12-A,74.51,10,24.3,11.9,14.73,60.11,8.8,
2/4/2021 13:21:35,1-4-B,78.79,8,29.5,10.4,9.41,69.36,2.72,0.092203389830509,6.39522711864407,8.67,9.83333333333333,10.8455882352941,9.22033898305085,,,2/4/2021 13:30:20,1-12-B,81.54,8,29.36,10.6,11.3,70.36,8.92,
2/4/2021 13:58:02,1-5-A,91.81,10,26.98,10.4,16.01,76.23,2.4,0.088954781319496,6.78102297998518,7.623,8.99333333333333,11.2416666666667,8.89547813194959,,,,,,,,,,,,
2/4/2021 13:23:00,1-5-B,95.67,8,29.15,9.2,14.32,81.72,2.44,0.083704974271012,6.8403704974271,10.215,9.71666666666667,11.9467213114754,8.3704974271012,,,,,,,,,,,,
2/4/2021 13:59:33,1-6-A,61.68,6,23.49,11.2,12.29,49.75,2.57,0.109408258833546,5.44306087696892,8.29166666666667,7.83,9.14007782101167,10.9408258833546,,,,,,,,,,,,
2/4/2021 13:25:54,1-6-B,100.25,9,25.63,10.4,16.82,83.95,2.41,0.094030433086227,7.89385485758876,9.32777777777778,8.54333333333333,10.6348547717842,9.40304330862271,,,,,,,,,,,,
2/4/2021 13:55:42,1-7-A,93.03,8,29.86,9.7,17.36,75.86,2.64,0.08841259209645,6.70697923643671,9.4825,9.95333333333333,11.3106060606061,8.84125920964501,,,,,,,,,,,,
2/4/2021 13:36:35,1-7-B,112.69,10,32.28,11.2,17.81,94.77,2.96,0.091697645600991,8.69018587360595,9.477,10.76,10.9054054054054,9.16976456009913,,,,,,,,,,,,
2/4/2021 14:02:45,1-8-A,58.79,8,23.86,11,13.33,45.73,2.6,0.10896898575021,4.98315171835708,5.71625,7.95333333333333,9.17692307692307,10.896898575021,,,,,,,,,,,,
