%Time ,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain,,,,,
43815,2.7561,0.918666667,0,0.007124739,0,0,,,,,
43816,1.1223,0.80925,0,0.0082375,0,0,,,,,
43817,0.9948,0.66825,0.54,0.012771667,0,0,,,,,
43818,0.0957,0.864,0.54,0.027889167,0,0,,,,,
43819,1.7175,0.8775,0.551333333,0.025095,0.6565,0,,,,,
43820,2.2839,0.87075,0.135,0.024883333,0,0,,,,,
43821,0.5472,1.047916667,0.189,0.019515833,0,0,,,,,
43822,1.6572,1.19,0,0.016420833,0.2626,0,,,,,
43823,1.7511,1.201333333,0,0.017055833,1.1817,0,,,,,
43824,1.683,1.19,0,0.01204,4.7268,0,,,,,
43825,2.5671,1.201333333,0,0.009535833,1.5756,0,,,,,
43826,2.1432,1.201333333,0,0.012195833,1.5756,0,,,,,
43827,2.9772,1.201333333,0,0.009870833,0.7878,0,,,,,
43828,3.6384,1.201333333,0,0.010474167,0.7878,0,,,,,
43829,4.7106,1.110666667,0.136,0.016101667,0.7878,0,,,,,
43830,2.3508,1.407,0.081,0.0147575,2.3634,1,,,,,
43831,3.3297,1.462,0.136,0.0160275,2.3634,0.87,,,,,
43832,3.9537,1.473333333,0.136,0.017045833,2.3634,0.83,,,,,
43833,3.7311,1.462,0.136,0.023416667,1.8382,0.49,,,,,
43834,3.0975,1.462,0.136,0.02565,1.8382,0.51,,,,,
43835,3.2661,1.462,0.136,0.020455,1.8382,0.35,,,,,
43836,2.6088,1.462,0.544,0.0413275,2.1008,0.57,,,,,
43837,1.9659,1.36,0.544,0.034661667,2.1008,0.68,,,,,
43838,1.4247,1.461916667,0.544,0.052185,2.1008,0.55,,,,,
43839,1.8804,1.462,0.544,0.051923333,2.1008,0.65,,,,,
43840,2.3859,1.462,0.544,0.042994167,2.1008,0.71,,,,,
43841,3.0525,1.473333333,0.544,0.044068333,2.1008,0.39,,,,,
43842,2.8341,1.462,0.544,0.047726667,2.3634,0.47,,,,,
43843,1.6479,1.36,0.884,0.0450825,2.626,0.9,,,,,
43844,2.295,1.462,0.884,0.054881667,2.626,0.726363636,,,,,
43845,2.6283,0.905166667,0.51975,0.039848333,2.626,0.67,,,,,
43846,1.5339,1.462,0.884,0.04322,2.626,0.87,,,,,
43847,2.4228,1.337333333,0.884,0.051169167,2.626,0.58,,,,,
43848,2.2023,1.473333333,0.884,0.051039167,2.626,0.57,,,,,
43849,2.0106,1.462,0.884,0.042390833,2.8886,0.72,,,,,
43850,2.4981,1.462,0.884,0.0362325,2.8886,0.75,,,,,
43851,2.781,1.473333333,0.884,0.036738333,2.8886,0.68,,,,,
43852,2.3283,1.473333333,0.884,0.037320833,2.8886,0.83,,,,,
43853,1.404,1.473333333,0.884,0.037936667,2.8886,0.72,,,,,
43854,2.4696,1.462,0.884,0.035574167,2.8886,0.67,,,,,
43855,3.1452,1.496,0.884,0.036076667,2.8886,0.52,,,,,
43856,1.4349,1.496,0.884,0.043914167,2.8886,0.77,,,,,
