AssimLight,BlackScr,CO2air,EnScr,GHtime,HumDef,PipeGrow,PipeLow,RHair,Tair,VentLee,Ventwind
NaN,NaN,NaN,NaN,43326,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,43326.0034722222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,437.999999631196,0,43326.0069444445,3.05000000234693,0,0,82.3999999932945,20.1000000067055,0,1.2
0,0,443,0,43326.0104166666,3,0,0,82.9,20.3,0,0
0,0,429.000000737607,0,43326.0138888889,2.94999999396503,0,0,83.1000000268221,20.1999999932945,0,0
0,0,439.999998524785,0,43326.0173611111,2.86000001206994,0,0,83.4999999463558,20.100000013411,0,0
0,0,435.000000335276,0,43326.0208333334,2.83000000201166,0,0,83.6999999865889,20.1,0,0
0,0,436.999999932945,0,43326.0243055555,2.7900000013411,0,0,83.9999999899417,20.1999999966472,0,0
0,0,434.000000368804,0,43326.0277777778,2.73999999664724,0,0,84.3000000167638,20.1999999966472,0,0
0,0,445.000001005828,0,43326.03125,2.64000000100583,0,0,84.8000000100583,20.1000000201166,0,0
0,0,454.999998994172,0,43326.0347222222,2.64999999899417,0,0,84.8999999899417,20.2999999798834,0,0
0,0,440.000000502914,0,43326.0381944445,2.65,0,0,84.9,20.3,0,0
0,0,443,0,43326.0416666666,2.58,0,0,85.2,20.2,0,0
0,0,438.999999798834,0,43326.0451388889,2.55,0,0,85.3000000067055,20.1000000067055,0,0
0,0,436.000000402331,0,43326.0486111111,2.55,0,0,85.399999986589,20.199999986589,0,0
0,0,443.999999463558,0,43326.0520833334,2.51000000268221,0,0,85.599999986589,20.2,0,0
0,0,445.999999932945,0,43326.0555555555,2.46000000167638,0,0,85.7999999932945,20.1000000033528,0,0
0,0,443.000000335276,0,43326.0590277778,2.4699999986589,0,0,85.9000000033528,20.2999999932945,0,0
0,0,452.999999195337,0,43326.0625,2.42999999798834,0,0,86.0000000201166,20.1000000100583,0,0
0,0,445.000000804663,0,43326.0659722222,2.41000000201166,0,0,86.1999999798834,20.1999999899417,0,0
0,0,454.999999664724,0,43326.0694444445,2.39000000067055,0,0,86.3999999932945,20.2999999966472,0,0
0,0,447,0,43326.0729166666,2.37,0,0,86.5,20.3,0,0
0,0,450.999999262393,0,43326.0763888889,2.37999999396503,0,0,86.6000000268221,20.4999999932945,0,0
0,0,440.000001475215,0,43326.0798611111,2.29000001206994,0,0,86.9999999463558,20.400000013411,0,0
0,0,455.999998927116,0,43326.0833333334,2.28000000067055,0,0,87,20.3000000067055,0,0
0,0,448.000000268221,0,43326.0868055555,2.26000000067055,0,0,87.1999999932945,20.3999999966472,0,0
