AssimLight,BlackScr,CO2air,EnScr,GHtime,HumDef,PipeGrow,PipeLow,RHair,Tair,VentLee,Ventwind
NaN,NaN,NaN,NaN,43326,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,43326.0034722222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,0,440.000001475215,0,43326.0069444445,2.84000000201166,0,0,83.5999999932945,20.1,0,0
0,0,449,0,43326.0104166666,2.79,0,0,84,20.1,0,0
0,0,495.999996513129,0,43326.0138888889,2.63999999731779,0,0,84.8000000201166,20.1,0,0
0,0,444.000006973742,0,43326.0173611111,2.60000000536442,0,0,85.0999999597669,20.1,0,0
0,0,466.99999845773,0,43326.0208333334,2.55000000335276,0,0,85.4999999731779,20.1,0,0
0,0,455.000000402331,0,43326.0243055555,2.48000000234693,0,0,85.6999999932945,20.1,0,0
0,0,463.00000013411,0,43326.0277777778,2.40999999832362,0,0,86.2000000100583,20.0000000033528,0,0
0,0,466.999998088926,0,43326.03125,2.35999999094755,0,0,86.5000000201166,20.0999999899417,0,0
0,0,448.000001911074,0,43326.0347222222,2.27000000905245,0,0,86.6999999798834,20.0000000100583,0,0
0,0,455.999999731779,0,43326.0381944445,2.25000000067055,0,0,86.9999999899417,20.0999999966472,0,0
0,0,468,0,43326.0416666666,2.21,0,0,87.2,20,0,0
0,0,473.999999731779,0,43326.0451388889,2.17999999597669,0,0,87.500000013411,20.0999999932945,0,0
0,0,470.000000536442,0,43326.0486111111,2.12000000804663,0,0,87.6999999731779,20.000000013411,0,0
0,0,470,0,43326.0520833334,2.11000000067055,0,0,87.7999999932945,20.0999999932945,0,0
0,0,470.999999966472,0,43326.0555555555,2.05000000201166,0,0,88.0999999899417,20.0000000033528,0,0
0,0,470.999999731779,0,43326.0590277778,2.04999999832362,0,0,88.2000000067055,20,0,0
0,0,463.000003721564,0,43326.0625,1.99999999597669,0,0,88.4000000301749,20.0000000100583,0,0
0,0,499.999996278436,0,43326.0659722222,1.96000000402331,0,0,88.6999999698252,20.0999999899417,0,0
0,0,497.000000100583,0,43326.0694444445,1.96,0,0,88.7999999966472,20.1,0,0
0,0,478,0,43326.0729166666,1.93,0,0,89,20.2,0,0
0,0,481.999999262393,0,43326.0763888889,1.87999999798834,0,0,89.2000000201166,20.2,0,0
0,0,471.000001475215,0,43326.0798611111,1.85000000402331,0,0,89.4999999597669,20.2,0,0
0,0,471,0,43326.0833333334,1.84000000067055,0,0,89.5999999932945,20.2999999932945,0,0
0,0,480.999999664724,0,43326.0868055555,1.79000000167638,0,0,89.7999999932945,20.2000000033528,0,0
0,0,494.999999530613,0,43326.0902777778,1.73999999899417,0,0,89.8000000134111,20.2,0,0
